experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,435.89,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,412.311,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Other,479.583,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Other,447.214,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Architecture,424.264,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Architecture,339.116,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Architecture,447.214,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Architecture,339.116,0
Senior,Full-time,FR,Half-Remote,FR,SMALL,Other,231.633,1
Executive level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,469.042,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,452.769,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,424.264,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,360.555,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,447.214,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,387.298,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,463.681,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,412.311,0
Senior,Full-time,US,On-Site,US,MEDIUM,Machine Learning,497.494,0
Senior,Full-time,US,On-Site,US,MEDIUM,Machine Learning,414.97,0
Senior,Full-time,CA,On-Site,CA,MEDIUM,Data Science,473.286,2
Senior,Full-time,CA,On-Site,CA,MEDIUM,Data Science,419.524,2
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,346.41,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,273.861,0
Entry level,Full-time,IN,Full-Remote,IN,LARGE,Data Engineering,130.468,1
Senior,Full-time,AU,Full-Remote,FI,MEDIUM,Other,261.377,2
Mid/Intermediate level,Full-time,FI,On-Site,FI,MEDIUM,Other,273.898,1
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,374.166,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,346.41,0
