experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
2,2,7,2,7,1,5,360.555,0
2,2,7,2,7,1,5,282.843,0
3,2,7,2,7,1,1,500.0,0
3,2,7,2,7,1,1,387.298,0
3,2,7,0,7,1,4,400.0,0
3,2,7,0,7,1,4,346.41,0
3,2,7,2,7,1,3,537.658,0
3,2,7,2,7,1,3,449.837,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,346.41,0
3,2,7,2,7,1,1,393.7,0
3,2,7,2,7,1,1,325.576,0
3,2,7,2,7,1,1,447.214,0
3,2,7,2,7,1,1,400.0,0
3,2,7,0,7,1,2,397.178,0
3,2,7,0,7,1,2,323.497,0
2,2,7,0,7,1,2,424.264,0
2,2,7,0,7,1,2,374.166,0
1,2,7,2,7,1,2,447.214,0
1,2,7,2,7,1,2,380.789,0
2,2,7,2,7,0,5,260.768,0
0,2,7,0,7,1,1,244.949,0
3,2,5,2,5,1,2,219.748,1
3,2,5,2,5,1,2,196.548,1
0,2,7,2,7,1,1,291.548,0
0,2,7,2,7,1,1,254.951,0
2,2,7,2,7,1,1,353.553,0
2,2,7,2,7,1,1,300.0,0
3,2,7,0,7,1,1,324.037,0
3,2,7,0,7,1,1,300.0,0
3,2,7,2,7,1,1,424.052,0
3,2,7,2,7,1,1,379.289,0
3,2,7,2,7,1,1,367.423,0
3,2,7,2,7,1,1,324.808,0
0,2,7,2,7,1,5,393.7,0
0,2,7,2,7,1,5,353.553,0
3,2,7,2,7,1,3,490.918,0
3,2,7,2,7,1,3,425.441,0
3,2,7,2,7,1,2,501.996,0
3,2,7,2,7,1,2,392.428,0
1,2,7,2,7,1,0,424.264,0
1,2,7,2,7,1,0,393.7,0
3,2,7,2,7,1,2,437.91,0
3,2,7,2,7,1,2,366.382,0
3,2,7,0,7,1,2,418.33,0
3,2,7,0,7,1,2,380.789,0
3,2,7,0,7,1,2,486.826,0
3,2,7,0,7,1,2,380.789,0
0,2,7,2,7,1,5,393.7,0
0,2,7,2,7,1,5,353.553,0
3,2,7,2,7,1,1,282.843,0
3,2,7,2,7,1,1,264.575,0
3,2,7,2,7,1,1,382.099,0
3,2,7,2,7,1,1,273.861,0
0,2,7,0,7,1,1,253.377,0
0,2,7,0,7,1,1,236.854,0
3,2,7,2,7,1,3,412.311,0
3,2,7,2,7,1,3,360.555,0
3,2,7,0,7,1,1,456.563,0
3,2,7,0,7,1,1,412.977,0
3,2,7,2,7,1,3,353.553,0
3,2,7,2,7,1,3,316.228,0
2,2,7,2,7,1,5,367.423,0
2,2,7,2,7,1,5,346.41,0
3,2,7,0,7,1,2,447.214,0
3,2,7,0,7,1,2,412.311,0
3,2,4,2,4,1,2,413.824,1
3,2,4,2,4,1,2,337.268,1
3,2,7,2,7,0,2,471.381,0
3,2,7,2,7,0,2,368.782,0
3,2,7,2,7,0,2,509.902,0
3,2,7,2,7,0,2,368.782,0
3,2,7,2,7,1,1,391.918,0
3,2,7,2,7,1,1,317.017,0
3,2,7,0,7,1,2,452.769,0
3,2,7,0,7,1,2,428.952,0
3,2,0,0,0,1,3,339.116,2
3,2,0,0,0,1,3,308.221,2
2,2,7,2,7,1,1,427.2,0
2,2,7,2,7,1,1,348.569,0
3,2,7,2,7,1,1,450.666,0
3,2,7,2,7,1,1,338.378,0
2,2,6,2,6,1,1,270.026,1
2,2,6,2,6,1,1,233.848,1
3,2,7,2,7,1,1,501.996,0
3,2,7,2,7,1,1,359.166,0
0,2,7,0,7,1,1,304.467,0
